OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,COUNTY_NAME,PREFERRED_CITY,Shape_Length,Shape_Area
1,98001,98001,033,Standard,King County,AUBURN,147643.355747481,525313280.559772
2,98002,98002,033,Standard,King County,AUBURN,104440.086790685,205302753.899029
3,98003,98003,033,Standard,King County,FEDERAL WAY,123619.720417882,316939471.105242
4,98004,98004,033,Standard,King County,BELLEVUE,109051.119161777,201759849.50299
5,98005,98005,033,Standard,King County,BELLEVUE,116554.737369372,211433669.28828
6,98006,98006,033,Standard,King County,BELLEVUE,107965.965144188,321915192.572582
7,98007,98007,033,Standard,King County,BELLEVUE,113051.351422619,115966096.888698
8,98008,98008,033,Standard,King County,BELLEVUE,94042.1738615569,153571287.094132
9,98010,98010,033,Standard,King County,BLACK DIAMOND,131826.320233209,519142696.077925
10,98011,98011,033,Standard,King County,BOTHELL,73516.7892846724,197687795.743368
11,98011,98011,061,Standard,Snohomish County,BOTHELL,2707.86475010973,149341.794017809
12,98012,98012,061,Standard,Snohomish County,BOTHELL,114116.470117549,421408231.421983
13,98014,98014,033,Standard,King County,CARNATION,231918.455317527,1159838487.72748
14,98019,98019,033,Standard,King County,DUVALL,313473.999404386,3188086069.81265
15,98019,98019,061,Standard,Snohomish County,DUVALL,7976.11143896636,2266669.88920626
16,98020,98020,061,Standard,Snohomish County,EDMONDS,66203.7135701415,142247023.214042
17,98021,98021,033,Standard,King County,BOTHELL,104214.628638445,273404928.9022
18,98022,98022,033,Standard,King County,ENUMCLAW,736008.178947781,11360773692.5474
19,98022,98022,053,Standard,Pierce County,ENUMCLAW,295979.59225798,2507633660.90162
20,98023,98023,033,Standard,King County,FEDERAL WAY,93096.4134744919,290536308.384435
21,98024,98024,033,Standard,King County,FALL CITY,364856.941383113,2193499468.38794
22,98026,98026,061,Standard,Snohomish County,EDMONDS,133289.423884277,258888373.428059
23,98027,98027,033,Standard,King County,ISSAQUAH,279608.270397543,1588773166.27512
24,98028,98028,033,Standard,King County,KENMORE,75032.3162002755,173097334.12243
25,98029,98029,033,Standard,King County,ISSAQUAH,113426.338626658,269791010.261666
26,98030,98030,033,Standard,King County,KENT,93300.9056693999,200650834.478597
27,98031,98031,033,Standard,King County,KENT,114217.446807908,228130484.687485
28,98032,98032,033,Standard,King County,KENT,160965.225925507,478266653.765603
29,98033,98033,033,Standard,King County,KIRKLAND,99649.3448296189,257384178.614482
30,98034,98034,033,Standard,King County,KIRKLAND,96056.3961849211,272525623.16195
31,98036,98036,061,Standard,Snohomish County,LYNNWOOD,111912.218321298,267158094.932548
32,98037,98037,061,Standard,Snohomish County,LYNNWOOD,78136.4159390061,168863901.907376
33,98038,98038,033,Standard,King County,MAPLE VALLEY,313215.451430796,1641555611.34951
34,98039,98039,033,Standard,King County,MEDINA,37226.8263154254,39349550.4594143
35,98040,98040,033,Standard,King County,MERCER ISLAND,75519.6591026005,175584208.596036
36,98042,98042,033,Standard,King County,KENT,207816.97012924,768020169.240332
37,98043,98043,061,Standard,Snohomish County,MOUNTLAKE TERRACE,46970.6897693763,115804612.755818
38,98045,98045,033,Standard,King County,NORTH BEND,644167.770884012,8056672357.60345
39,98047,98047,033,Standard,King County,PACIFIC,41796.5833433971,48760252.357997
40,98047,98047,053,Standard,Pierce County,PACIFIC,19937.7304027148,19319883.4562564
41,98050,98050,033,PO Box,King County,PRESTON,62720.6505376427,39535965.4162418
42,98051,98051,033,Standard,King County,RAVENSDALE,212924.686739448,1151477139.28454
43,98052,98052,033,Standard,King County,REDMOND,167494.631010287,546474684.484104
44,98053,98053,033,Standard,King County,REDMOND,200161.14285843,773072520.71339
45,98055,98055,033,Standard,King County,RENTON,67775.2383257491,124865108.973909
46,98056,98056,033,Standard,King County,RENTON,92086.6180578612,198493559.544687
47,98057,98057,033,Standard,King County,RENTON,85293.9092433969,184442624.912107
48,98058,98058,033,Standard,King County,RENTON,172731.987555593,627099573.558136
49,98059,98059,033,Standard,King County,RENTON,146767.839701002,462310927.621458
50,98065,98065,033,Standard,King County,SNOQUALMIE,352239.407992517,2405166819.81564
51,98068,98068,033,PO Box,King County,SNOQUALMIE PASS,12574.0267462688,2805831.87750889
52,98068,98068,037,PO Box,Kittitas County,SNOQUALMIE PASS,220130.818473637,1770029111.04895
53,98070,98070,033,Standard,King County,VASHON,272819.693396191,1010295820.04487
54,98072,98072,033,Standard,King County,WOODINVILLE,118840.621246458,368821004.494515
55,98072,98072,061,Standard,Snohomish County,WOODINVILLE,76667.7800054903,151104512.280404
56,98074,98074,033,Standard,King County,SAMMAMISH,115710.562097701,327719198.547762
57,98075,98075,033,Standard,King County,SAMMAMIISH,126568.888076525,290512462.928685
58,98077,98077,033,Standard,King County,WOODINVILLE,116788.251072248,419638040.82096
59,98077,98077,061,Standard,Snohomish County,WOODINVILLE,50110.1240030627,75926072.5352454
60,98087,98087,061,Standard,Snohomish County,LYNNWOOD,68003.5198361596,156580450.322233
61,98092,98092,033,Standard,King County,AUBURN,265529.75688748,1212840831.53283
62,98092,98092,053,Standard,Pierce County,AUBURN,35442.1008768838,46332629.587949
63,98101,98101,033,Standard,King County,SEATTLE,23561.0328015806,14586566.6622487
64,98102,98102,033,Standard,King County,SEATTLE,37843.1751279714,43622100.1306048
65,98103,98103,033,Standard,King County,SEATTLE,72870.5809337797,144127888.04798
66,98104,98104,033,Standard,King County,SEATTLE,36004.4906347835,20914509.9248954
67,98105,98105,033,Standard,King County,SEATTLE,80390.6601921233,96229013.2565968
68,98106,98106,033,Standard,King County,SEATTLE,80786.6734678412,147531909.05028
69,98107,98107,033,Standard,King County,SEATTLE,53464.5822534612,65511022.9628124
